# lambda(um) flux(Jy) fluxerr(Jy)
4.93360 0.114866754 0.004349005
4.99999 0.112374351 0.003721144
5.06639 0.110905877 0.002657850
5.13278 0.109234607 0.002610601
5.19918 0.108156104 0.002294224
5.26558 0.107151811 0.001971234
5.33197 0.106343717 0.001743835
5.39837 0.106371097 0.001876476
5.46476 0.105589859 0.001725763
5.53116 0.106136049 0.001750181
5.59755 0.104836943 0.001601645
5.66395 0.105767035 0.001911802
5.73034 0.106063932 0.001893716
5.79674 0.104812952 0.001652025
5.86314 0.105448061 0.002077976
5.92953 0.103966574 0.001822154
5.99593 0.102767775 0.001644380
6.06232 0.103049133 0.001593531
6.12872 0.101574935 0.001522441
6.19511 0.101291757 0.001377976
6.26151 0.100988343 0.001197004
6.32790 0.100516625 0.001184417
6.39430 0.100424170 0.001611893
6.46070 0.101225553 0.002259968
6.52709 0.103181449 0.002946551
6.59349 0.104272597 0.003216420
6.65988 0.102530200 0.003475645
6.72628 0.101554744 0.003041970
6.79267 0.101534974 0.002744813
6.85907 0.102593469 0.002707699
6.92546 0.099371187 0.002199633
6.99186 0.099779096 0.002293483
7.05826 0.099303933 0.001716165
7.12465 0.099990037 0.001972201
7.19105 0.099776023 0.001767315
7.25744 0.100040768 0.001632493
7.32384 0.099456364 0.001624504
7.39023 0.101068409 0.001830717
7.45663 0.101156547 0.001961182
7.52302 0.099776916 0.001986673
7.58942 0.100180968 0.001844165
7.65582 0.100269472 0.001600012
7.72221 0.101730786 0.001696158
7.78861 0.101635376 0.001431266
7.85500 0.103353668 0.001363128
7.92140 0.105239948 0.001360833
7.98779 0.107037658 0.001034457
8.05419 0.111904213 0.001225007
8.12058 0.114456892 0.000783134
8.18698 0.119237405 0.000764787
8.25338 0.122666884 0.000729383
8.31977 0.126996445 0.000714745
8.38617 0.129016067 0.000721448
8.45256 0.132341626 0.000740848
8.51896 0.135481315 0.000667528
8.58535 0.137535264 0.000677756
8.65175 0.140694114 0.000638724
8.71814 0.144246962 0.000777533
8.78454 0.147509945 0.000710691
8.85094 0.151715467 0.000446178
8.91733 0.155340943 0.000483555
8.98373 0.160016483 0.000556325
9.05012 0.164633483 0.000585789
9.11652 0.169124759 0.000578156
9.18291 0.172953413 0.000481711
9.24931 0.175326954 0.000594188
9.31570 0.175981180 0.000453496
9.38210 0.174386154 0.000584824
9.44850 0.172295184 0.000712120
9.51489 0.170303482 0.000642832
9.58129 0.167655486 0.000742273
9.64768 0.167003469 0.000556398
9.71408 0.166949031 0.000601523
9.78047 0.168277799 0.000492082
9.84687 0.169977055 0.000611690
9.91326 0.170985796 0.000667689
9.97966 0.169436444 0.000633883
10.04606 0.169458560 0.000738257
10.11245 0.170223796 0.000786018
10.17885 0.170925479 0.000793800
10.24524 0.171245607 0.000796046
10.31164 0.171548985 0.000621681
10.37803 0.172118433 0.000691537
10.44443 0.173235469 0.000497822
10.51082 0.172861681 0.000589330
10.57722 0.174155294 0.000558476
10.64362 0.174908808 0.000528291
10.71001 0.174656941 0.000539157
10.77641 0.174088731 0.000532532
10.84280 0.173543339 0.000483232
10.90920 0.172992727 0.000514661
10.97559 0.172060140 0.000512262
11.04199 0.173356011 0.000599735
11.10838 0.173614765 0.000563433
11.17478 0.173624971 0.000467292
11.24118 0.172892600 0.000654693
11.30757 0.171178582 0.000663087
11.37397 0.169089355 0.000802311
11.44036 0.169124482 0.000639366
11.50676 0.167895605 0.000641111
11.57315 0.166408544 0.001231613
